,Price $,Acres,County,Zip
0,199900.0,77.45,Cattaraugus County,14755
1,354900.0,381.58,Jefferson County,13634
2,274900.0,200.0,Steuben County,14877
3,160000.0,25.0,Saint Lawrence County,13670
4,248900.0,108.0,Oswego County,13036
5,499500.0,180.23,Cortland County,13040
6,71000.0,12.6,Onondaga County,13104
7,244900.0,149.2,Cattaraugus County,14741
8,355000.0,212.39,Otsego County,12116
9,219900.0,100.4,Allegany County,14709
10,448900.0,135.0,Chenango County,13815
11,1450000.0,545.0,Tioga County,13743
12,199900.0,195.78,Madison County,13487
13,9499000.0,1566.31,Livingston County,14510
14,750000.0,350.0,Madison County,13032
15,119900.0,51.0,Allegany County,14709
16,114900.0,29.0,Schuyler County,14886
17,195000.0,110.0,Madison County,13464
18,799900.0,373.0,Chautauqua County,14724
19,225000.0,81.31,Madison County,13355
20,179900.0,87.9,Cayuga County,13092
21,278900.0,237.0,Allegany County,14770
22,159900.0,68.0,Allegany County,14739
23,1298900.0,270.75,Chenango County,13815
24,499500.0,180.23,Cortland County,13040
25,229900.0,131.6,Cayuga County,13118
26,139900.0,79.01,Madison County,13314
27,129900.0,79.89,Cortland County,13863
28,195000.0,90.0,Delaware County,13775
29,975000.0,12.64,Onondaga County,13104
30,295000.0,220.0,Albany County,12009
31,485000.0,22.0,Oneida County,13323
32,143900.0,180.0,Allegany County,14813
33,178900.0,43.1,Madison County,13032
34,69000.0,33.0,Chenango County,13815
35,239900.0,150.0,Allegany County,14895
36,129500.0,163.0,Madison County,13082
37,299000.0,135.6,Saint Lawrence County,13642
38,398900.0,174.91,Delaware County,13740
39,128900.0,62.0,Broome County,13862
40,600000.0,262.0,Steuben County,14843
41,295000.0,225.0,Madison County,13408
42,699500.0,211.48,Cortland County,13803
43,349000.0,6.7,Onondaga County,13159
44,495000.0,60.0,Oneida County,13490
45,114900.0,125.0,Chenango County,13411
46,148900.0,50.17,Delaware County,13740
47,132000.0,33.11,Onondaga County,13069
48,395000.0,109.17,Onondaga County,13078
